"Cathles, L. M.","Cornell University","https://www.grid.ac/institutes/grid.5386.8","UNITED STATES","NY","null","WOS:000272308200007","WOS","http://scholars.cornell.edu/individual/UR-255049","The physics of gas chimney and pockmark formation, with implications for assessment of seafloor hazards and gas sequestration","10.1016/j.marpetgeo.2009.09.010","2010"
"Chen, Duofu","Chinese Acad Sci","null","CHINA","null","null","WOS:000272308200007","WOS","http://scholars.cornell.edu/individual/UR-255049","The physics of gas chimney and pockmark formation, with implications for assessment of seafloor hazards and gas sequestration","10.1016/j.marpetgeo.2009.09.010","2010"
"Su, Zheng","Chinese Acad Sci","null","CHINA","null","null","WOS:000272308200007","WOS","http://scholars.cornell.edu/individual/UR-255049","The physics of gas chimney and pockmark formation, with implications for assessment of seafloor hazards and gas sequestration","10.1016/j.marpetgeo.2009.09.010","2010"
"Kim, Jong-Chul","Sejong University","https://www.grid.ac/institutes/grid.263333.4","SOUTH KOREA","null","null","WOS:000259180000013","WOS","http://scholars.cornell.edu/individual/UR-322700","Influence of the cure systems on long time thermal aging behaviors of NR composites","null","2008"
"Lee, Seung Goo","Chungnam National University","https://www.grid.ac/institutes/grid.254230.2","SOUTH KOREA","null","null","WOS:000259180000013","WOS","http://scholars.cornell.edu/individual/UR-322700","Influence of the cure systems on long time thermal aging behaviors of NR composites","null","2008"
"Joo, Yong L.","Cornell University","https://www.grid.ac/institutes/grid.5386.8","UNITED STATES","NY","COLLEGE OF ENGINEERING","WOS:000259180000013","WOS","http://scholars.cornell.edu/individual/UR-322700","Influence of the cure systems on long time thermal aging behaviors of NR composites","null","2008"
"Choi, Sung-Seen","Sejong University","https://www.grid.ac/institutes/grid.263333.4","SOUTH KOREA","null","null","WOS:000259180000013","WOS","http://scholars.cornell.edu/individual/UR-322700","Influence of the cure systems on long time thermal aging behaviors of NR composites","null","2008"
"Zhang, Chi","Dalian University of Technology","https://www.grid.ac/institutes/grid.30055.33","CHINA","null","null","WOS:000305568800004","WOS","http://scholars.cornell.edu/individual/UR-17619","A watershed rainfall data recovery approach with application to distributed hydrological models","10.1002/hyp.8242","2012"
"Zhou, Huicheng","Dalian University of Technology","https://www.grid.ac/institutes/grid.30055.33","CHINA","null","null","WOS:000305568800004","WOS","http://scholars.cornell.edu/individual/UR-17619","A watershed rainfall data recovery approach with application to distributed hydrological models","10.1002/hyp.8242","2012"
"Wang, Yilun","Cornell University","https://www.grid.ac/institutes/grid.5386.8","UNITED STATES","NY","COLLEGE OF ENGINEERING","WOS:000305568800004","WOS","http://scholars.cornell.edu/individual/UR-17619","A watershed rainfall data recovery approach with application to distributed hydrological models","10.1002/hyp.8242","2012"
"Chu, Jinggang","Dalian University of Technology","https://www.grid.ac/institutes/grid.30055.33","CHINA","null","null","WOS:000305568800004","WOS","http://scholars.cornell.edu/individual/UR-17619","A watershed rainfall data recovery approach with application to distributed hydrological models","10.1002/hyp.8242","2012"
"Zhang, Chi","Cornell University","https://www.grid.ac/institutes/grid.5386.8","UNITED STATES","NY","COLLEGE OF ENGINEERING","WOS:000305568800004","WOS","http://scholars.cornell.edu/individual/UR-17619","A watershed rainfall data recovery approach with application to distributed hydrological models","10.1002/hyp.8242","2012"
"Shoemaker, Christine A.","Cornell University","https://www.grid.ac/institutes/grid.5386.8","UNITED STATES","NY","COLLEGE OF ENGINEERING","WOS:000305568800004","WOS","http://scholars.cornell.edu/individual/UR-17619","A watershed rainfall data recovery approach with application to distributed hydrological models","10.1002/hyp.8242","2012"
"Pitsch, Heinz","Stanford University","https://www.grid.ac/institutes/grid.168010.e","UNITED STATES","CA","null","WOS:000334092800002","WOS","http://scholars.cornell.edu/individual/UR-361495","A chemical mechanism for low to high temperature oxidation of n-dodecane as a component of transportation fuel surrogates","10.1016/j.combustflame.2013.10.012","2014"
"Pepiot, Perrine","Cornell University","https://www.grid.ac/institutes/grid.5386.8","UNITED STATES","NY","COLLEGE OF ENGINEERING","WOS:000334092800002","WOS","http://scholars.cornell.edu/individual/UR-361495","A chemical mechanism for low to high temperature oxidation of n-dodecane as a component of transportation fuel surrogates","10.1016/j.combustflame.2013.10.012","2014"
"Narayanaswamy, Krithika","Stanford University","https://www.grid.ac/institutes/grid.168010.e","UNITED STATES","CA","null","WOS:000334092800002","WOS","http://scholars.cornell.edu/individual/UR-361495","A chemical mechanism for low to high temperature oxidation of n-dodecane as a component of transportation fuel surrogates","10.1016/j.combustflame.2013.10.012","2014"
"Potdar, YK","Exponent Failure Anal Associates","null","UNITED STATES","CA","null","WOS:000188607100001","WOS","http://scholars.cornell.edu/individual/UR-370583","Temperature and deformation measurements in transient metal cutting","10.1177/0014485104039623","2004"
"Zehnder, AT","Cornell University","https://www.grid.ac/institutes/grid.5386.8","UNITED STATES","NY","COLLEGE OF ENGINEERING","WOS:000188607100001","WOS","http://scholars.cornell.edu/individual/UR-370583","Temperature and deformation measurements in transient metal cutting","10.1177/0014485104039623","2004"
"Fernandes, Nikhil","Cornell University","https://www.grid.ac/institutes/grid.5386.8","UNITED STATES","NY","COLLEGE OF ENGINEERING","WOS:000281613800010","WOS","http://scholars.cornell.edu/individual/UR-122773","Fullerol ionic fluids","10.1039/c0nr00307g","2010"
"Georgakilas, Vasilios","NCSR Demokritos","null","GREECE","null","null","WOS:000281613800010","WOS","http://scholars.cornell.edu/individual/UR-122773","Fullerol ionic fluids","10.1039/c0nr00307g","2010"
"Bourlinos, Athanasios B.","NCSR Demokritos","null","GREECE","null","null","WOS:000281613800010","WOS","http://scholars.cornell.edu/individual/UR-122773","Fullerol ionic fluids","10.1039/c0nr00307g","2010"
"Dallas, Panagiotis","Cornell University","https://www.grid.ac/institutes/grid.5386.8","UNITED STATES","NY","COLLEGE OF ENGINEERING","WOS:000281613800010","WOS","http://scholars.cornell.edu/individual/UR-122773","Fullerol ionic fluids","10.1039/c0nr00307g","2010"
"Dallas, Panagiotis","NCSR Demokritos","null","GREECE","null","null","WOS:000281613800010","WOS","http://scholars.cornell.edu/individual/UR-122773","Fullerol ionic fluids","10.1039/c0nr00307g","2010"
"Rodriguez, Robert","Cornell University","https://www.grid.ac/institutes/grid.5386.8","UNITED STATES","NY","COLLEGE OF ENGINEERING","WOS:000281613800010","WOS","http://scholars.cornell.edu/individual/UR-122773","Fullerol ionic fluids","10.1039/c0nr00307g","2010"
"Giannelis, Emmanuel P.","Cornell University","https://www.grid.ac/institutes/grid.5386.8","UNITED STATES","NY","COLLEGE OF ENGINEERING","WOS:000281613800010","WOS","http://scholars.cornell.edu/individual/UR-122773","Fullerol ionic fluids","10.1039/c0nr00307g","2010"
