http://scholars.cornell.edu/individual/jrnl-0000049,"CANADIAN MATHEMATICAL BULLETIN-BULLETIN CANADIEN DE MATHEMATIQUES","1496-4287","1496-4287","[Mathematics]","General Mathematics"
http://scholars.cornell.edu/individual/jrnl-0001504,"The Journal of Derivatives","","","[Business, Finance]","null"
http://scholars.cornell.edu/individual/jrnl-0000867,"Nature Geoscience","1752-0908","1752-0908","[Geosciences, Multidisciplinary]","Meteorology & Atmospheric Sciences"
http://scholars.cornell.edu/individual/jrnl-0000871,"Nature chemistry","1755-4349","1755-4349","[Chemistry, Multidisciplinary]","Organic Chemistry"
http://scholars.cornell.edu/individual/jrnl-0000623,"Journal of magnetic resonance imaging : JMRI","1522-2586","1522-2586","[Radiology, Nuclear Medicine & Medical Imaging]","Nuclear Medicine & Medical Imaging"
http://scholars.cornell.edu/individual/jrnl-0000061,"Combustion Science and Technology","1563-521X","1563-521X","[Thermodynamics, Engineering, Chemical, Engineering, Multidisciplinary, Energy & Fuels]","Energy"
http://scholars.cornell.edu/individual/jrnl-0000974,"Journal of Applied Nonlinear Dynamics","2164-6473","2164-6473","null","null"
http://scholars.cornell.edu/individual/jrnl-0001441,"Information and Software Technology","","","[Computer Science, Information Systems, Computer Science, Software Engineering]","Software Engineering"
http://scholars.cornell.edu/individual/jrnl-0001022,"JOURNAL OF WATER SUPPLY RESEARCH AND TECHNOLOGY-AQUA","","","[Engineering, Civil, Water Resources]","Environmental Engineering"
http://scholars.cornell.edu/individual/jrnl-0001170,"Chemosphere","","","[Environmental Sciences]","Environmental Sciences"
http://scholars.cornell.edu/individual/jrnl-0000068,"Journal of The Electrochemical Society","1945-7111","1945-7111","[Materials Science, Coatings & Films, Electrochemistry]","Energy"
http://scholars.cornell.edu/individual/jrnl-0001030,"BRITISH JOURNAL OF POLITICAL SCIENCE","","","[Political Science]","Political Science & Public Administration"
http://scholars.cornell.edu/individual/jrnl-0000641,"TECHNICAL PHYSICS LETTERS","1090-6533","1090-6533","[Physics, Applied]","Applied Physics"
http://scholars.cornell.edu/individual/jrnl-0000977,"APL Materials","2166-532X","2166-532X","[Nanoscience & Nanotechnology, Materials Science, Multidisciplinary, Physics, Applied]","null"
http://scholars.cornell.edu/individual/jrnl-0000059,"Clinical orthopaedics and related research","1528-1132","1528-1132","[Orthopedics, Surgery]","Orthopedics"
http://scholars.cornell.edu/individual/jrnl-0001200,"American Cartographer","","","null","null"
http://scholars.cornell.edu/individual/jrnl-0001542,"Materials Today","","","[Materials Science, Multidisciplinary]","Materials"
http://scholars.cornell.edu/individual/jrnl-0000145,"Journal of microscopy","1365-2818","1365-2818","[Microscopy]","Microscopy"
http://scholars.cornell.edu/individual/jrnl-0001217,"IEEE Transactions on Circuits and Systems","","","null","null"
http://scholars.cornell.edu/individual/jrnl-0001575,"ACM Transactions on Architecture and Code Optimization","","","[Computer Science, Theory & Methods, Computer Science, Hardware & Architecture]","null"
http://scholars.cornell.edu/individual/jrnl-0000089,"IEEE Transactions on Electron Devices","1557-9646","1557-9646","[Engineering, Electrical & Electronic, Physics, Applied]","Applied Physics"
http://scholars.cornell.edu/individual/jrnl-0000190,"Oecologia","1432-1939","1432-1939","[Ecology]","Ecology"
http://scholars.cornell.edu/individual/jrnl-0001046,"Earth and Planetary Science Letters","","","[Geochemistry & Geophysics]","Geochemistry & Geophysics"
http://scholars.cornell.edu/individual/jrnl-0000252,"Geology","1943-2682","1943-2682","[Geology]","Geochemistry & Geophysics"
http://scholars.cornell.edu/individual/jrnl-0000472,"Journal of Marketing for Higher Education","1540-7144","1540-7144","null","null"
http://scholars.cornell.edu/individual/jrnl-0000217,"Advances in Water Resources","1573-093X","1573-093X","[Astronomy & Astrophysics]","Astronomy & Astrophysics"
http://scholars.cornell.edu/individual/jrnl-0000398,"American Journal of Hematology","1096-8652","1096-8652","[Hematology]","Immunology"
http://scholars.cornell.edu/individual/jrnl-0000532,"Autonomous Robots","1573-7527","1573-7527","[Computer Science, Artificial Intelligence, Robotics]","Industrial Engineering & Automation"
http://scholars.cornell.edu/individual/jrnl-0000866,"BMC Systems Biology","1752-0509","1752-0509","[Mathematical & Computational Biology]","Bioinformatics"
http://scholars.cornell.edu/individual/jrnl-0000731,"Journal of Environmental Monitoring","1464-0333","1464-0333","null","Environmental Sciences"
http://scholars.cornell.edu/individual/jrnl-0000285,"Journal Of Biomechanical Engineering-Transactions Of The ASME","1528-8951","1528-8951","[Engineering, Biomedical, Biophysics]","Biomedical Engineering"
http://scholars.cornell.edu/individual/jrnl-0001428,"Safety Science","","","[Operations Research & Management Science, Engineering, Industrial]","Human Factors"
http://scholars.cornell.edu/individual/jrnl-0000791,"Public Library of Science: Biology","1545-7885","1545-7885","null","Developmental Biology"
http://scholars.cornell.edu/individual/jrnl-0000697,"Chemical communications (Cambridge, England)","1364-548X","1364-548X","[Chemistry, Multidisciplinary]","Organic Chemistry"
http://scholars.cornell.edu/individual/jrnl-0001534,"COMPOSITES PART B-ENGINEERING","","","[Engineering, Multidisciplinary, Materials Science, Composites]","Materials"
http://scholars.cornell.edu/individual/jrnl-0000688,"Biotechnology and Bioprocess Engineering","1976-3816","1976-3816","[Biotechnology & Applied Microbiology]","Biotechnology"
http://scholars.cornell.edu/individual/jrnl-0000720,"Sensors (Basel, Switzerland)","1424-8220","1424-8220","[Instruments & Instrumentation, Electrochemistry, Chemistry, Analytical]","Analytical Chemistry"
http://scholars.cornell.edu/individual/jrnl-0001340,"INTERNATIONAL JOURNAL OF HYDROGEN ENERGY","","","[Electrochemistry, Chemistry, Physical, Energy & Fuels]","Energy"
http://scholars.cornell.edu/individual/jrnl-0000995,"Biotechnology progress","1520-6033","1520-6033","[Food Science & Technology, Biotechnology & Applied Microbiology]","Biotechnology"
http://scholars.cornell.edu/individual/jrnl-0000683,"Journal of the Air & Waster Management Association","2162-2906","2162-2906","[Engineering, Environmental, Meteorology & Atmospheric Sciences, Environmental Sciences]","Meteorology & Atmospheric Sciences"
http://scholars.cornell.edu/individual/jrnl-0001306,"CERAMICS INTERNATIONAL","","","[Materials Science, Ceramics]","Materials"
http://scholars.cornell.edu/individual/jrnl-0001865,"International Geology Review","1938-2839","1938-2839","[Geology]","Geochemistry & Geophysics"
http://scholars.cornell.edu/individual/jrnl-0000356,"Probability in the Engineering and Informational Sciences","1469-8951","1469-8951","[Statistics & Probability, Operations Research & Management Science, Engineering, Industrial]","Statistics & Probability"
http://scholars.cornell.edu/individual/jrnl-0001192,"The Annals of Statistics","","","[Statistics & Probability]","Statistics & Probability"
http://scholars.cornell.edu/individual/jrnl-0000919,"JOURNAL OF SIGNAL PROCESSING SYSTEMS FOR SIGNAL IMAGE AND VIDEO TECHNOLOGY","1939-8115","1939-8115","[Computer Science, Information Systems, Engineering, Electrical & Electronic]","Computer Hardware & Architecture"
http://scholars.cornell.edu/individual/jrnl-0000098,"Journal of Experimental and Theoretical Physics Letters","1090-6487","1090-6487","[Physics, Multidisciplinary]","General Physics"
http://scholars.cornell.edu/individual/jrnl-0001508,"Journal of Manufacturing Science and Engineering-Transactions of the Asme","","","[Engineering, Manufacturing, Engineering, Mechanical]","Industrial Engineering & Automation"
http://scholars.cornell.edu/individual/jrnl-0000626,"Chaos: An Interdisciplinary Journal of Nonlinear Science","1089-7682","1089-7682","[Physics, Mathematical, Mathematics, Applied]","Fluids & Plasmas"
http://scholars.cornell.edu/individual/jrnl-0000353,"Semiconductor Science and Technology","1361-6641","1361-6641","[Materials Science, Multidisciplinary, Engineering, Electrical & Electronic, Physics, Condensed Matter]","Applied Physics"
http://scholars.cornell.edu/individual/jrnl-0001698,"Eur Heart J","1522-9645","1522-9645","[Cardiac & Cardiovascular Systems]","Cardiovascular System & Hematology"
http://scholars.cornell.edu/individual/jrnl-0000212,"Monthly Notices of the Royal Astronomical Society (MNRAS)","1365-2966","1365-2966","[Astronomy & Astrophysics]","Astronomy & Astrophysics"
http://scholars.cornell.edu/individual/jrnl-0000137,"The Journal of general virology","1465-2099","1465-2099","[Biotechnology & Applied Microbiology, Virology]","Virology"
http://scholars.cornell.edu/individual/jrnl-0000998,"Chinese Journal of Geophysics-Chinese Edition","","","[Geochemistry & Geophysics]","Geochemistry & Geophysics"
http://scholars.cornell.edu/individual/jrnl-0001257,"JOURNAL OF ECONOMIC PSYCHOLOGY","","","[Economics, Psychology, Multidisciplinary]","Economics"
http://scholars.cornell.edu/individual/jrnl-0001597,"Journal of Bionic Engineering","","","[Materials Science, Biomaterials, Engineering, Multidisciplinary, Robotics]","Biomedical Engineering"
http://scholars.cornell.edu/individual/jrnl-0000517,"JOURNAL OF FINANCIAL SERVICES RESEARCH","1573-0735","1573-0735","[Business, Finance]","Finance"
http://scholars.cornell.edu/individual/jrnl-0000917,"IEEE Journal of Selected Topics in Applied Earth Observations and Remote Sensing","2151-1535","2151-1535","[Geography, Physical, Engineering, Electrical & Electronic, Remote Sensing, Imaging Science & Photographic Technology]","null"
http://scholars.cornell.edu/individual/jrnl-0000316,"Analyse & Kritik","2365-9858","2365-9858","null","null"
http://scholars.cornell.edu/individual/jrnl-0000069,"Environment: Science and Policy for Sustainable Development","1939-9154","1939-9154","[Environmental Studies, Environmental Sciences]","Environmental Sciences"
http://scholars.cornell.edu/individual/jrnl-0000913,"Tissue engineering. Part C, Methods","1937-3392","1937-3392","[Cell & Tissue Engineering, Biotechnology & Applied Microbiology, Cell Biology]","Biomedical Engineering"
http://scholars.cornell.edu/individual/jrnl-0001452,"Biomass and Bioenergy","","","[Agricultural Engineering, Biotechnology & Applied Microbiology, Energy & Fuels]","Energy"
http://scholars.cornell.edu/individual/jrnl-0000307,"Journal of controlled release : official journal of the Controlled Release Society","1873-4995","1873-4995","[Pharmacology & Pharmacy, Chemistry, Multidisciplinary]","Pharmacology & Pharmacy"
http://scholars.cornell.edu/individual/jrnl-0000592,"Gene Therapy","1476-5462","1476-5462","[Biochemistry & Molecular Biology, Genetics & Heredity, Biotechnology & Applied Microbiology, Medicine, Research & Experimental]","Biotechnology"
http://scholars.cornell.edu/individual/jrnl-0000521,"Research in microbiology","1769-7123","1769-7123","[Microbiology]","Microbiology"
http://scholars.cornell.edu/individual/jrnl-0001641,"Reviews of Geophysics","","","[Geochemistry & Geophysics]","Meteorology & Atmospheric Sciences"
http://scholars.cornell.edu/individual/jrnl-0001104,"Journal of Neurochemistry","","","[Biochemistry & Molecular Biology, Neurosciences]","Neurology & Neurosurgery"
http://scholars.cornell.edu/individual/jrnl-0000105,"Journal of Applied Polymer Science","1097-4628","1097-4628","[Polymer Science]","Polymers"
http://scholars.cornell.edu/individual/jrnl-0001814,"Industrial Biotechnology","1931-8421","1931-8421","null","Biotechnology"
http://scholars.cornell.edu/individual/jrnl-0001110,"JOURNAL OF RETAILING","","","[Business]","Marketing"
http://scholars.cornell.edu/individual/jrnl-0000983,"Customer Needs and Solutions","2196-2928","2196-2928","null","null"
http://scholars.cornell.edu/individual/jrnl-0000752,"Physical Biology","1478-3975","1478-3975","[Biophysics]","Biophysics"
http://scholars.cornell.edu/individual/jrnl-0001007,"American Economic Review","","","[Economics]","Economics"
http://scholars.cornell.edu/individual/jrnl-0000695,"European Financial Management","1468-036X","1468-036X","[Business, Finance]","Finance"
http://scholars.cornell.edu/individual/jrnl-0000277,"International Journal of Remote Sensing","1366-5901","1366-5901","[Remote Sensing, Imaging Science & Photographic Technology]","Geological & Geomatics Engineering"
http://scholars.cornell.edu/individual/jrnl-0001420,"Journal of VLSI Signal Processing (Special Issue on Signal Processing for Wireless Communication Systems)","","","null","null"
http://scholars.cornell.edu/individual/jrnl-0000745,"Expert review of anticancer therapy","1744-8328","1744-8328","[Oncology]","Oncology & Carcinogenesis"
http://scholars.cornell.edu/individual/jrnl-0000339,"Annals of Operations Research","1572-9338","1572-9338","[Operations Research & Management Science]","Operations Research"
http://scholars.cornell.edu/individual/jrnl-0001013,"American Mineralogist","","","[Mineralogy, Geochemistry & Geophysics]","Geochemistry & Geophysics"
http://scholars.cornell.edu/individual/jrnl-0000865,"IET systems biology","1751-8857","1751-8857","[Cell Biology, Mathematical & Computational Biology]","Bioinformatics"
http://scholars.cornell.edu/individual/jrnl-0001253,"JOURNAL OF ECONOMIC BEHAVIOR & ORGANIZATION","","","[Economics]","Economics"
http://scholars.cornell.edu/individual/jrnl-0001826,"Journal of the International Association for Mathematical Geology","1573-8868","1573-8868","null","null"
http://scholars.cornell.edu/individual/jrnl-0000895,"International Journal of Business Administration","1923-4015","1923-4015","null","null"
http://scholars.cornell.edu/individual/jrnl-0000547,"Finance and Stochastics","1432-1122","1432-1122","[Mathematics, Interdisciplinary Applications, Statistics & Probability, Social Sciences, Mathematical Methods, Business, Finance]","Finance"
