art,per,gname,mname,fname
http://scholars.cornell.edu/individual/UR-415634,http://scholars.cornell.edu/individual/jwt54,Jefferson,William,Tester
http://scholars.cornell.edu/individual/UR-360887,http://scholars.cornell.edu/individual/tdo1,Thomas,Denis,O'Rourke
http://scholars.cornell.edu/individual/UR-14161,http://scholars.cornell.edu/individual/apr5,Anthony,P,Reeves
http://scholars.cornell.edu/individual/UR-416522,http://scholars.cornell.edu/individual/jwt54,Jefferson,William,Tester
http://scholars.cornell.edu/individual/UR-45988,http://scholars.cornell.edu/individual/jdb20,Joel,Donald,Brock
http://scholars.cornell.edu/individual/UR-366619,http://scholars.cornell.edu/individual/ads10,Abraham,Duncan,Stroock
http://scholars.cornell.edu/individual/UR-415668,http://scholars.cornell.edu/individual/dm24,David,Anthony,Muller
http://scholars.cornell.edu/individual/UR-453183,http://scholars.cornell.edu/individual/raj15,Robert,A,Jarrow
http://scholars.cornell.edu/individual/UR-226456,http://scholars.cornell.edu/individual/dpl3,Daniel,Peter,Loucks
http://scholars.cornell.edu/individual/UR-250191,http://scholars.cornell.edu/individual/jdb20,Joel,Donald,Brock
http://scholars.cornell.edu/individual/UR-313866,http://scholars.cornell.edu/individual/rgh27,Richard,G,Hennig
http://scholars.cornell.edu/individual/UR-313779,http://scholars.cornell.edu/individual/sgh9,Shane,G,Henderson
http://scholars.cornell.edu/individual/UR-417140,http://scholars.cornell.edu/individual/ds636,Darrell,,Schlom
http://scholars.cornell.edu/individual/UR-415805,http://scholars.cornell.edu/individual/jdb20,Joel,Donald,Brock
http://scholars.cornell.edu/individual/UR-360044,http://scholars.cornell.edu/individual/dm24,David,Anthony,Muller
http://scholars.cornell.edu/individual/UR-395720,http://scholars.cornell.edu/individual/kz33,Ke,,Zhang
http://scholars.cornell.edu/individual/UR-438789,http://scholars.cornell.edu/individual/pmr82,Patrick,Michael,Reed
http://scholars.cornell.edu/individual/UR-416425,http://scholars.cornell.edu/individual/ds636,Darrell,,Schlom
http://scholars.cornell.edu/individual/UR-393930,http://scholars.cornell.edu/individual/ylj2,Yong,L,Joo
http://scholars.cornell.edu/individual/UR-416839,http://scholars.cornell.edu/individual/sbp2,Stephen,Bailey,Pope
http://scholars.cornell.edu/individual/UR-416908,http://scholars.cornell.edu/individual/sbw11,Stephen,B,Wicker
http://scholars.cornell.edu/individual/UR-418441,http://scholars.cornell.edu/individual/ms2682,Meredith,,Silberstein
http://scholars.cornell.edu/individual/UR-417439,http://scholars.cornell.edu/individual/crp10,Clifford,Raymond,Pollock
http://scholars.cornell.edu/individual/UR-417439,http://scholars.cornell.edu/individual/rd32,Rudiger,,Dieckmann
http://scholars.cornell.edu/individual/UR-413407,http://scholars.cornell.edu/individual/myl3,Michel,Yves,Louge
http://scholars.cornell.edu/individual/UR-182518,http://scholars.cornell.edu/individual/jl2792,Jan,,Lammerding
http://scholars.cornell.edu/individual/UR-452694,http://scholars.cornell.edu/individual/sg248,Sachin,,Gupta
http://scholars.cornell.edu/individual/UR-321221,http://scholars.cornell.edu/individual/jtj2,James,Thomas,Jenkins
http://scholars.cornell.edu/individual/UR-417446,http://scholars.cornell.edu/individual/mu25,Matthew,,Ulinski
http://scholars.cornell.edu/individual/UR-418005,http://scholars.cornell.edu/individual/jd694,Jiangang,,Dai
http://scholars.cornell.edu/individual/UR-416350,http://scholars.cornell.edu/individual/cko3,Christopher,Kemper,Ober
http://scholars.cornell.edu/individual/UR-416313,http://scholars.cornell.edu/individual/cko3,Christopher,Kemper,Ober
http://scholars.cornell.edu/individual/UR-271487,http://scholars.cornell.edu/individual/hgc1,Harold,G,Craighead
http://scholars.cornell.edu/individual/UR-453793,http://scholars.cornell.edu/individual/sg248,Sachin,,Gupta
http://scholars.cornell.edu/individual/UR-418136,http://scholars.cornell.edu/individual/nmm63,Natalie,M,Mahowald
http://scholars.cornell.edu/individual/UR-416696,http://scholars.cornell.edu/individual/tc345,Tsuhan,,Chen
http://scholars.cornell.edu/individual/UR-289779,http://scholars.cornell.edu/individual/dhb2,Donald,H,Bilderback
http://scholars.cornell.edu/individual/UR-417943,http://scholars.cornell.edu/individual/jrs27,James,Richard,Shealy
http://scholars.cornell.edu/individual/UR-406943,http://scholars.cornell.edu/individual/cko3,Christopher,Kemper,Ober
http://scholars.cornell.edu/individual/UR-366039,http://scholars.cornell.edu/individual/jrs5,Jery,Russell,Stedinger
http://scholars.cornell.edu/individual/UR-225567,http://scholars.cornell.edu/individual/mck13,Michael,Charles,Kelley
http://scholars.cornell.edu/individual/UR-225567,http://scholars.cornell.edu/individual/dlh37,David,Lee,Hysell
http://scholars.cornell.edu/individual/UR-169941,http://scholars.cornell.edu/individual/sir1,Sidney,Ira,Resnick
http://scholars.cornell.edu/individual/UR-370588,http://scholars.cornell.edu/individual/ch45,Chung-Yuen,,Hui
http://scholars.cornell.edu/individual/UR-370588,http://scholars.cornell.edu/individual/atz2,Alan,Taylor,Zehnder
http://scholars.cornell.edu/individual/UR-225842,http://scholars.cornell.edu/individual/mck13,Michael,Charles,Kelley
http://scholars.cornell.edu/individual/UR-396165,http://scholars.cornell.edu/individual/rb737,Rebecca,J,Barthelmie
http://scholars.cornell.edu/individual/UR-250186,http://scholars.cornell.edu/individual/jdb20,Joel,Donald,Brock
http://scholars.cornell.edu/individual/UR-339558,http://scholars.cornell.edu/individual/fww1,Frank,William,Wise
http://scholars.cornell.edu/individual/UR-182541,http://scholars.cornell.edu/individual/jl2792,Jan,,Lammerding
http://scholars.cornell.edu/individual/UR-248761,http://scholars.cornell.edu/individual/awb8,Adam,Wojciech,Bojanczyk
http://scholars.cornell.edu/individual/UR-269232,http://scholars.cornell.edu/individual/eac20,Edwin,Alfred,Cowen
http://scholars.cornell.edu/individual/UR-415783,http://scholars.cornell.edu/individual/rgb6,Robert,Gary,Bland
http://scholars.cornell.edu/individual/UR-122764,http://scholars.cornell.edu/individual/epg2,Emmanuel,P,Giannelis
http://scholars.cornell.edu/individual/UR-384314,http://scholars.cornell.edu/individual/sbp2,Stephen,Bailey,Pope
http://scholars.cornell.edu/individual/UR-322684,http://scholars.cornell.edu/individual/ylj2,Yong,L,Joo
http://scholars.cornell.edu/individual/UR-361941,http://scholars.cornell.edu/individual/sbp2,Stephen,Bailey,Pope
http://scholars.cornell.edu/individual/UR-415544,http://scholars.cornell.edu/individual/pll3,Philip,Li-Fan,Liu
http://scholars.cornell.edu/individual/UR-368802,http://scholars.cornell.edu/individual/yw233,Yi,,Wang
http://scholars.cornell.edu/individual/UR-197185,http://scholars.cornell.edu/individual/lwl3,Leonard,William,Lion
http://scholars.cornell.edu/individual/UR-361974,http://scholars.cornell.edu/individual/sbp2,Stephen,Bailey,Pope
http://scholars.cornell.edu/individual/UR-417144,http://scholars.cornell.edu/individual/rgh27,Richard,G,Hennig
http://scholars.cornell.edu/individual/UR-417144,http://scholars.cornell.edu/individual/ubw1,Ulrich,B,Wiesner
http://scholars.cornell.edu/individual/UR-5857,http://scholars.cornell.edu/individual/mo19,Maureen,,O'Hara
http://scholars.cornell.edu/individual/UR-417959,http://scholars.cornell.edu/individual/jd694,Jiangang,,Dai
http://scholars.cornell.edu/individual/UR-362298,http://scholars.cornell.edu/individual/rhr2,Richard,Herbert,Rand
http://scholars.cornell.edu/individual/UR-361697,http://scholars.cornell.edu/individual/slp6,Stuart,Leigh,Phoenix
http://scholars.cornell.edu/individual/UR-395860,http://scholars.cornell.edu/individual/dj326,Debdeep,,Jena
http://scholars.cornell.edu/individual/UR-416235,http://scholars.cornell.edu/individual/cko3,Christopher,Kemper,Ober
http://scholars.cornell.edu/individual/UR-362655,http://scholars.cornell.edu/individual/jr43,James,,Renegar
http://scholars.cornell.edu/individual/UR-292939,http://scholars.cornell.edu/individual/ylj2,Yong,L,Joo
http://scholars.cornell.edu/individual/UR-364334,http://scholars.cornell.edu/individual/jrs27,James,Richard,Shealy
http://scholars.cornell.edu/individual/UR-452920,http://scholars.cornell.edu/individual/mh375,Ming,,Huang
http://scholars.cornell.edu/individual/UR-233013,http://scholars.cornell.edu/individual/ea85,Ehsan,,Afshari
http://scholars.cornell.edu/individual/UR-313962,http://scholars.cornell.edu/individual/jdv27,Jeffrey,D,Varner
http://scholars.cornell.edu/individual/UR-453970,http://scholars.cornell.edu/individual/jer9,Joseph,Edward,Russo
http://scholars.cornell.edu/individual/UR-417529,http://scholars.cornell.edu/individual/crj2,Charles,R,Johnson
http://scholars.cornell.edu/individual/UR-65546,http://scholars.cornell.edu/individual/cjf76,Craig,James,Fennie
http://scholars.cornell.edu/individual/UR-65546,http://scholars.cornell.edu/individual/nab83,Nicole,Ann,Benedek
http://scholars.cornell.edu/individual/UR-415704,http://scholars.cornell.edu/individual/dpl3,Daniel,Peter,Loucks
http://scholars.cornell.edu/individual/UR-321234,http://scholars.cornell.edu/individual/jtj2,James,Thomas,Jenkins
http://scholars.cornell.edu/individual/UR-136035,http://scholars.cornell.edu/individual/rvl1,Richard,V E,Lovelace
http://scholars.cornell.edu/individual/UR-453784,http://scholars.cornell.edu/individual/sg337,Srinagesh,,Gavirneni
http://scholars.cornell.edu/individual/UR-226134,http://scholars.cornell.edu/individual/mck13,Michael,Charles,Kelley
http://scholars.cornell.edu/individual/UR-441413,http://scholars.cornell.edu/individual/jtb47,Jonathan,T,Butcher
http://scholars.cornell.edu/individual/UR-431179,http://scholars.cornell.edu/individual/wrz2,Warren,R,Zipfel
http://scholars.cornell.edu/individual/UR-271012,http://scholars.cornell.edu/individual/hgc1,Harold,G,Craighead
http://scholars.cornell.edu/individual/UR-417506,http://scholars.cornell.edu/individual/mgs22,Michael,G,Spencer
http://scholars.cornell.edu/individual/UR-27605,http://scholars.cornell.edu/individual/laa25,Lynden,A,Archer
http://scholars.cornell.edu/individual/UR-6962,http://scholars.cornell.edu/individual/raj15,Robert,A,Jarrow
http://scholars.cornell.edu/individual/UR-415201,http://scholars.cornell.edu/individual/nmm63,Natalie,M,Mahowald
http://scholars.cornell.edu/individual/UR-302768,http://scholars.cornell.edu/individual/jmg18,James,Michael,Gossett
http://scholars.cornell.edu/individual/UR-417631,http://scholars.cornell.edu/individual/cjf76,Craig,James,Fennie
http://scholars.cornell.edu/individual/UR-415581,http://scholars.cornell.edu/individual/cko3,Christopher,Kemper,Ober
http://scholars.cornell.edu/individual/UR-416906,http://scholars.cornell.edu/individual/dha7,David,H,Albonesi
http://scholars.cornell.edu/individual/UR-418011,http://scholars.cornell.edu/individual/jd694,Jiangang,,Dai
http://scholars.cornell.edu/individual/UR-136041,http://scholars.cornell.edu/individual/rvl1,Richard,V E,Lovelace
http://scholars.cornell.edu/individual/UR-12304,http://scholars.cornell.edu/individual/apr5,Anthony,P,Reeves
http://scholars.cornell.edu/individual/UR-6965,http://scholars.cornell.edu/individual/raj15,Robert,A,Jarrow
http://scholars.cornell.edu/individual/UR-417291,http://scholars.cornell.edu/individual/rb88,Rajesh,,Bhaskaran
http://scholars.cornell.edu/individual/UR-416138,http://scholars.cornell.edu/individual/myl3,Michel,Yves,Louge
http://scholars.cornell.edu/individual/UR-417798,http://scholars.cornell.edu/individual/yw233,Yi,,Wang
http://scholars.cornell.edu/individual/UR-225564,http://scholars.cornell.edu/individual/mck13,Michael,Charles,Kelley
http://scholars.cornell.edu/individual/UR-114052,http://scholars.cornell.edu/individual/asl55,Adrian,S,Lewis
http://scholars.cornell.edu/individual/UR-365761,http://scholars.cornell.edu/individual/mgs22,Michael,G,Spencer
http://scholars.cornell.edu/individual/UR-250541,http://scholars.cornell.edu/individual/ldb7,Larry,Douglas,Brown
http://scholars.cornell.edu/individual/UR-363030,http://scholars.cornell.edu/individual/dr24,David,,Ruppert
http://scholars.cornell.edu/individual/UR-359770,http://scholars.cornell.edu/individual/jam61,John,Anthony,Muckstadt
http://scholars.cornell.edu/individual/UR-397177,http://scholars.cornell.edu/individual/dj326,Debdeep,,Jena
http://scholars.cornell.edu/individual/UR-369179,http://scholars.cornell.edu/individual/zw16,Zellman,,Warhaft
http://scholars.cornell.edu/individual/UR-361667,http://scholars.cornell.edu/individual/slp6,Stuart,Leigh,Phoenix
http://scholars.cornell.edu/individual/UR-417292,http://scholars.cornell.edu/individual/lad9,Louis,A,Derry
http://scholars.cornell.edu/individual/UR-325620,http://scholars.cornell.edu/individual/smk16,Suzanne,Mahlburg,Kay
http://scholars.cornell.edu/individual/UR-364476,http://scholars.cornell.edu/individual/zw16,Zellman,,Warhaft
http://scholars.cornell.edu/individual/UR-416391,http://scholars.cornell.edu/individual/dr24,David,,Ruppert
http://scholars.cornell.edu/individual/UR-396651,http://scholars.cornell.edu/individual/dj326,Debdeep,,Jena
http://scholars.cornell.edu/individual/UR-389770,http://scholars.cornell.edu/individual/ch45,Chung-Yuen,,Hui
http://scholars.cornell.edu/individual/UR-252476,http://scholars.cornell.edu/individual/jab16,Joseph,Arthur,Burns
http://scholars.cornell.edu/individual/UR-364616,http://scholars.cornell.edu/individual/cas12,Christine,Ann,Shoemaker
http://scholars.cornell.edu/individual/UR-415880,http://scholars.cornell.edu/individual/hc63,Hsiao-Dong,,Chiang
