name,netId,art,wosId,pmId
"Wicker, Stephen B.",sbw11,http://scholars.cornell.edu/individual/UR-416922,,
"Wicker, Stephen B.",sbw11,http://scholars.cornell.edu/individual/UR-416912,,
"Wicker, Stephen B.",sbw11,http://scholars.cornell.edu/individual/UR-416928,,
"Wicker, Stephen B.",sbw11,http://scholars.cornell.edu/individual/UR-416911,,
"Wicker, Stephen B.",sbw11,http://scholars.cornell.edu/individual/UR-416909,,
"Wicker, Stephen B.",sbw11,http://scholars.cornell.edu/individual/UR-369704,WOS:A1997YG26900024,
"Wicker, Stephen B.",sbw11,http://scholars.cornell.edu/individual/UR-369718,WOS:000239058200004,
"Wicker, Stephen B.",sbw11,http://scholars.cornell.edu/individual/UR-17687,WOS:000223150700003,
"Wicker, Stephen B.",sbw11,http://scholars.cornell.edu/individual/UR-416921,,
"Wicker, Stephen B.",sbw11,http://scholars.cornell.edu/individual/UR-416918,,
"Wicker, Stephen B.",sbw11,http://scholars.cornell.edu/individual/UR-369705,WOS:000081994500002,
"Wicker, Stephen B.",sbw11,http://scholars.cornell.edu/individual/UR-369720,WOS:000087081200009,
"Wicker, Stephen B.",sbw11,http://scholars.cornell.edu/individual/UR-369728,WOS:000177638700002,
"Wicker, Stephen B.",sbw11,http://scholars.cornell.edu/individual/UR-416914,,
"Wicker, Stephen B.",sbw11,http://scholars.cornell.edu/individual/UR-369706,WOS:000257002500010,
"Wicker, Stephen B.",sbw11,http://scholars.cornell.edu/individual/UR-416858,,
"Wicker, Stephen B.",sbw11,http://scholars.cornell.edu/individual/UR-416916,,
"Wicker, Stephen B.",sbw11,http://scholars.cornell.edu/individual/UR-416932,,
"Wicker, Stephen B.",sbw11,http://scholars.cornell.edu/individual/UR-416908,,
"Wicker, Stephen B.",sbw11,http://scholars.cornell.edu/individual/UR-416929,,
"Wicker, Stephen B.",sbw11,http://scholars.cornell.edu/individual/UR-369708,WOS:000269392400006,
"Wicker, Stephen B.",sbw11,http://scholars.cornell.edu/individual/UR-369710,WOS:000080743800007,
"Wicker, Stephen B.",sbw11,http://scholars.cornell.edu/individual/UR-416931,,
"Wicker, Stephen B.",sbw11,http://scholars.cornell.edu/individual/UR-369727,WOS:000258913800002,
"Wicker, Stephen B.",sbw11,http://scholars.cornell.edu/individual/UR-416924,,
"Wicker, Stephen B.",sbw11,http://scholars.cornell.edu/individual/UR-418186,,
"Wicker, Stephen B.",sbw11,http://scholars.cornell.edu/individual/UR-416919,,
"Wicker, Stephen B.",sbw11,http://scholars.cornell.edu/individual/UR-416915,,
"Wicker, Stephen B.",sbw11,http://scholars.cornell.edu/individual/UR-416920,,
"Wicker, Stephen B.",sbw11,http://scholars.cornell.edu/individual/UR-416913,,
"Wicker, Stephen B.",sbw11,http://scholars.cornell.edu/individual/UR-369719,WOS:000227404400001,
"Wicker, Stephen B.",sbw11,http://scholars.cornell.edu/individual/UR-416923,,
"Wicker, Stephen B.",sbw11,http://scholars.cornell.edu/individual/UR-369713,WOS:A1996VX66700003,
"Wicker, Stephen B.",sbw11,http://scholars.cornell.edu/individual/UR-417358,,
"Wicker, Stephen B.",sbw11,http://scholars.cornell.edu/individual/UR-369722,WOS:000076437400020,
"Wicker, Stephen B.",sbw11,http://scholars.cornell.edu/individual/UR-369702,WOS:000223150700001,
"Wicker, Stephen B.",sbw11,http://scholars.cornell.edu/individual/UR-369725,WOS:000260463100008,
