"Cornell Univ, Dept Earth & Atmospher Sci, Ithaca, NY 14883 USA",grid.5386.8,"Cornell University","Ithaca","New York","UNITED STATES"
"Univ Alberta, Dept Mech Engn, Edmonton, AB T6G 2G8, Canada",grid.17089.37,"University of Alberta","Edmonton","Alberta","CANADA"
"Columbia Univ, Ctr Theoret Neurosci, New York, NY 10032 USA",grid.21729.3f,"Columbia University","New York","New York","UNITED STATES"
"Cornell Univ, Field Microbiol, Ithaca, NY USA;",grid.5386.8,"Cornell University","Ithaca","New York","UNITED STATES"
"Cornell Univ, Dept Biol & Environm Engn, Dept Biol & Environm Engn, Ithaca, NY 14853 USA",grid.5386.8,"Cornell University","Ithaca","New York","UNITED STATES"
"Princeton Univ, Dept Mech & Aerosp Engn, Princeton, NJ 08544 USA;",grid.16750.35,"Princeton University","Princeton","New Jersey","UNITED STATES"
"Univ Nottingham, Div Proc & Environm Engn, Nottingham NG7 2RD, England",grid.4563.4,"University of Nottingham","Nottingham","Nottingham","UNITED KINGDOM"
"Univ Iowa, Interdisciplinary Grad Program Genet, Iowa City, IA USA;",grid.214572.7,"University of Iowa","Iowa City","Iowa","UNITED STATES"
"Univ Calif Berkeley, Kavli Energy NanoSci Inst, Berkeley, CA 94720 USA",grid.47840.3f,"University of California, Berkeley","Berkeley","California","UNITED STATES"
"Ohio State Univ, Dept Chem & Biomol Engn, Columbus, OH 43210 USA",grid.261331.4,"Ohio State University","Columbus","Ohio","UNITED STATES"
"Ohio State Univ, Dept Phys, Columbus, OH 43210 USA;",grid.261331.4,"Ohio State University","Columbus","Ohio","UNITED STATES"
"Univ Canterbury, Dept Civil & Nat Resources Engn, Christchurch 8140, New Zealand;",grid.21006.35,"University of Canterbury","Christchurch","","NEW ZEALAND"
"Cornell Univ, Dept Biol Sci, Ithaca, NY 14853 USA;",grid.5386.8,"Cornell University","Ithaca","New York","UNITED STATES"
"Univ Vienna, Dept Phys, A-1090 Vienna, Austria;",grid.10420.37,"University of Vienna","Vienna","","AUSTRIA"
"Univ Alberta, Dept Mech Engn, Edmonton, AB T6G 2G8, Canada;",grid.17089.37,"University of Alberta","Edmonton","Alberta","CANADA"
"Univ Bayreuth, Bayreuther Inst Makromol Forsch, D-95440 Bayreuth, Germany;",grid.7384.8,"University of Bayreuth","Bayreuth","Bayern","GERMANY"
"Mayo Clin, Dept Neurol, Rochester, MN USA;",grid.417468.8,"Mayo Clinic","Scottsdale","Arizona","UNITED STATES"
"Cornell Univ, Dept Chem, Ithaca, NY 14853 USA;",grid.5386.8,"Cornell University","Ithaca","New York","UNITED STATES"
"Cornell Univ, Dept Populat Med, Ithaca, NY 14853 USA",grid.5386.8,"Cornell University","Ithaca","New York","UNITED STATES"
"Lehigh Univ, Bioengn Program, Bethlehem, PA 18015 USA;",grid.259029.5,"Lehigh University","Bethlehem","Pennsylvania","UNITED STATES"
"Carnegie Mellon Univ, Dept Biomed & Mech Engn, Pittsburgh, PA 15219 USA",grid.147455.6,"Carnegie Mellon University","Pittsburgh","Pennsylvania","UNITED STATES"
"Peking Univ, Dept Occupat & Environm Hlth, Sch Publ Hlth, Beijing 100083, Peoples R China",grid.11135.37,"Peking University","Beijing","Beijing","CHINA"
"Humboldt State Univ, Dept Phys & Astron, Arcata, CA 95521 USA;",grid.257157.3,"Humboldt State University","Arcata","California","UNITED STATES"
"Cornell Univ, Dept Biomed Sci, Ithaca, NY 14865 USA;",grid.5386.8,"Cornell University","Ithaca","New York","UNITED STATES"
"Cornell Univ, Weill Med Coll, Dept Chem & Biomol Engn, New York, NY 10021 USA;",grid.5386.8,"Cornell University","Ithaca","New York","UNITED STATES"
"Johns Hopkins Univ, Dept Chem & Biomol Engn, Baltimore, MD 21218 USA;",grid.21107.35,"Johns Hopkins University","Baltimore","Maryland","UNITED STATES"
"Cornell Univ, Dept Earth & Atmospher Sci, Ithaca, NY 14883 USA;",grid.5386.8,"Cornell University","Ithaca","New York","UNITED STATES"
"Australian Natl Univ, Res Sch Earth Sci, Canberra, ACT 0200, Australia;",grid.1001.0,"Australian National University","Canberra","Australian Capital Territory","AUSTRALIA"
