Seq #,Title,20 Char,Publisher,Prods,ISSN,E-ISSN,Country,Language,SCIE,SSCI,AHCI,WoS Category
D2783J,2D Materials,2D MATER,IOP PUBLISHING LTD,D  JS Q  XC S  CC ES,2053-1583,2053-1583,ENGLAND,English,1,0,0,"Materials Science, Multidisciplinary"
D2794J,3 Biotech,3 BIOTECH,SPRINGER HEIDELBERG,D  JS Q  XC B1 BA BP ES,2190-5738,2190-572X,GERMANY,English,,,,Biotechnology & Applied Microbiology
C7466J,4OR-A Quarterly Journal of Operations Research,4OR-Q J OPER RES,SPRINGER HEIDELBERG,D  JS Q  XC WS ES,1619-4500,1614-2411,GERMANY,English,,,,Operations Research & Management Science
01616J,A + U-ARCHITECTURE AND URBANISM,A U-ARCHIT URBAN,A & U PUBL CO LTD,H  Q  Y  CC,0389-9160,,JAPAN,Multi-Language,0,,1,Architecture
04616J,AAA-ARBEITEN AUS ANGLISTIK UND AMERIKANISTIK,AAA-ARB ANGLIST AM,GUNTER NARR VERLAG,H  Q  Y  CC,0171-5410,,GERMANY,Multi-Language,,,,Language & Linguistics
04616J,AAA-ARBEITEN AUS ANGLISTIK UND AMERIKANISTIK,AAA-ARB ANGLIST AM,GUNTER NARR VERLAG,H  Q  Y  CC,0171-5410,,GERMANY,Multi-Language,,,,Literature
00014J,AAPG BULLETIN,AAPG BULL,AMER ASSOC PETROLEUM GEOLOGIST,K  D  JS Q  S  CC ES,0149-1423,1558-9153,UNITED STATES,English,1,,0,"Geosciences, Multidisciplinary"
C5767J,AAPS Journal,AAPS J,SPRINGER,D  JS Q  XC AP B1 BA BP ES,1550-7416,1550-7416,UNITED STATES,English,,,,Pharmacology & Pharmacy
C2023J,AAPS PHARMSCITECH,AAPS PHARMSCITECH,SPRINGER,D  JS Q  XC AP ES,1530-9932,1530-9932,UNITED STATES,English,,,,Pharmacology & Pharmacy
D4537J,AATCC Journal of Research,AATCC J RES,AMER ASSOC TEXTILE CHEMISTS COLORISTS,D  JS Q  XC T  CC ES,2330-5517,2330-5517,UNITED STATES,English,,,,"Materials Science, Textiles"
13529J,AATCC REVIEW,AATCC REV,AMER ASSOC TEXTILE CHEMISTS COLORISTS,D  JS Q  XC T  CC ES,1532-8813,1532-8813,UNITED STATES,English,,,,"Chemistry, Applied"
13529J,AATCC REVIEW,AATCC REV,AMER ASSOC TEXTILE CHEMISTS COLORISTS,D  JS Q  XC T  CC ES,1532-8813,1532-8813,UNITED STATES,English,,,,"Engineering, Chemical"
13529J,AATCC REVIEW,AATCC REV,AMER ASSOC TEXTILE CHEMISTS COLORISTS,D  JS Q  XC T  CC ES,1532-8813,1532-8813,UNITED STATES,English,,,,"Materials Science, Textiles"
C6372J,Abacus-A Journal of Accounting Finance and Business Studies,ABACUS,WILEY-BLACKWELL,SS JZ Q  XC WS ES,0001-3072,1467-6281,AUSTRALIA,English,0,1,,"Business, Finance"
10110J,ABDOMINAL IMAGING,ABDOM IMAGING,SPRINGER,K  D  JS Q  C  B2 BA BP PI CC ES,0942-8925,1432-0509,UNITED STATES,English,1,0,,"Radiology, Nuclear Medicine & Medical Imaging"
10110J,ABDOMINAL IMAGING,ABDOM IMAGING,SPRINGER,K  D  JS Q  C  B2 BA BP PI CC ES,0942-8925,1432-0509,UNITED STATES,English,,,,Gastroenterology & Hepatology
03637J,ABHANDLUNGEN AUS DEM MATHEMATISCHEN SEMINAR DER UNIVERSITAT HAMBURG,ABH MATH SEM HAMBURG,SPRINGER HEIDELBERG,D  JS Q  XC ES,0025-5858,1865-8784,GERMANY,German,,,,Mathematics
00044J,ABSTRACTS OF PAPERS OF THE AMERICAN CHEMICAL SOCIETY,ABSTR PAP AM CHEM S,AMER CHEMICAL SOC,K  D  Q  TL B2 BP RR ES,0065-7727,,UNITED STATES,English,,,,"Chemistry, Multidisciplinary"
C8362J,Academia-Revista Latinoamericana de Administracion,ACAD-REV LATINOAM AD,EMERALD GROUP PUBLISHING LIMITED,SS JZ Q  XC WS ES,1012-8255,1012-8255,COLOMBIA,Spanish,0,1,,Management
C8362J,Academia-Revista Latinoamericana de Administracion,ACAD-REV LATINOAM AD,EMERALD GROUP PUBLISHING LIMITED,SS JZ Q  XC WS ES,1012-8255,1012-8255,COLOMBIA,Spanish,,,,Business
11382J,ACADEMIC EMERGENCY MEDICINE,ACAD EMERG MED,WILEY-BLACKWELL,K  D  JS Q  XC C  PI CC ES,1069-6563,1553-2712,UNITED STATES,English,1,0,,Emergency Medicine
07658J,ACADEMIC MEDICINE,ACAD MED,LIPPINCOTT WILLIAMS & WILKINS,K  D  JS Q  C  PI CC ES SP,1040-2446,1938-808X,UNITED STATES,English,,,,Health Care Sciences & Services
07658J,ACADEMIC MEDICINE,ACAD MED,LIPPINCOTT WILLIAMS & WILKINS,K  D  JS Q  C  PI CC ES SP,1040-2446,1938-808X,UNITED STATES,English,,,,"Education, Scientific Disciplines"
C9916J,Academic Pediatrics,ACAD PEDIATR,ELSEVIER SCIENCE INC,D  JS Q  XC C  CC ES,1876-2859,1876-2867,UNITED STATES,English,,,,Pediatrics
